date,link,text
2019-11-04 18:50,https://lancaster.craigslist.org/egr/d/lititz-instaler-templater-cad-granite/7013731966.html,INSTALER / TEMPLATER CAD Granite
2019-11-03 19:34,https://lancaster.craigslist.org/egr/d/lancaster-new-product-development/7013018629.html,New Product Development Engineer/Chemist
2019-11-03 19:27,https://lancaster.craigslist.org/egr/d/lancaster-senior-electrical-engineer/7013015495.html,Senior Electrical Engineer
2019-11-03 19:24,https://lancaster.craigslist.org/egr/d/lancaster-2-senior-product-design/7013013728.html,2 Senior Product Design Engineers (ME)
2019-10-22 11:11,https://lancaster.craigslist.org/egr/d/lititz-sales-engineer/7004588982.html,Sales Engineer
date,link,text
2019-11-18 12:25,https://philadelphia.craigslist.org/egr/d/montgomeryville-cad-designer-cam/7022449639.html,CAD DESIGNER / CAM PROGRAMMER
2019-11-16 21:42,https://philadelphia.craigslist.org/egr/d/philadelphia-civil-engineer-surveyors/7021610940.html,CIVIL ENGINEER & Surveyors - All Levels
2019-11-14 19:56,https://philadelphia.craigslist.org/egr/d/montgomeryville-manufacturing-engineer/7020279810.html,Manufacturing Engineer
2019-11-13 14:36,https://philadelphia.craigslist.org/egr/d/wayne-auto-cad-block/7019416813.html,Auto Cad Block
2019-11-13 13:02,https://philadelphia.craigslist.org/egr/d/west-point-field-oversight-electrical/7019337963.html,Field Oversight Electrical Lead
2019-11-11 10:36,https://philadelphia.craigslist.org/egr/d/richboro-engineering-designer-wanted/7017865060.html,Engineering Designer Wanted
2019-11-07 20:00,https://philadelphia.craigslist.org/egr/d/sewell-construction-project-manager/7015790687.html,Construction project manager WANTED!!
2019-11-06 16:14,https://philadelphia.craigslist.org/egr/d/burlington-hvac-project-manager/7014989494.html,HVAC Project Manager
2019-11-04 16:16,https://philadelphia.craigslist.org/egr/d/lansdale-electrical-engineer-systems/7013618219.html,Electrical Engineer/Systems Design Engineer
2019-10-31 13:22,https://philadelphia.craigslist.org/egr/d/collegeville-project-manager-estimator/7010875313.html,Project Manager/Estimator- Steel/Construction
2019-10-30 10:07,https://philadelphia.craigslist.org/egr/d/architect-graduate-and-auto-cad/7010041079.html,Architect/Graduate and Auto Cad Draftsman
